420,0,1,1.5,2,2.5,2.8,3,3.5,4
442,22,1.001,1.49,1.99,2.49,2.79,2.99,3.49,3.99
506,86,1.004,1.49,1.99,2.49,2.78,2.98,3.48,3.98
592,172,1.008,1.48,1.98,2.48,2.77,2.97,3.47,3.96
656,236,1.011,1.48,1.97,2.47,2.76,2.96,3.46,3.95
741,321,1.015,1.47,1.97,2.46,2.75,2.95,3.44,3.94
805,385,1.018,1.47,1.96,2.45,2.74,2.94,3.43,3.92
891,471,1.022,1.46,1.95,2.44,2.73,2.93,3.42,3.91
976,556,1.026,1.46,1.94,2.43,2.72,2.92,3.4,3.89
1041,621,1.029,1.45,1.94,2.42,2.71,2.91,3.39,3.88
1126,706,1.033,1.45,1.93,2.41,2.7,2.9,3.38,3.86
1190,770,1.036,1.44,1.92,2.41,2.69,2.89,3.37,3.85
1276,856,1.04,1.44,1.92,2.4,2.68,2.88,3.36,3.84
1340,920,1.043,1.43,1.91,2.39,2.67,2.87,3.34,3.82
1426,1006,1.047,1.42,1.9,2.38,2.66,2.85,3.33,3.81
1511,1091,1.051,1.42,1.89,2.37,2.65,2.84,3.32,3.79
1575,1155,1.054,1.41,1.89,2.36,2.64,2.83,3.31,3.78
1661,1241,1.058,1.41,1.88,2.35,2.63,2.82,3.29,3.76
1725,1305,1.061,1.4,1.87,2.34,2.62,2.81,3.28,3.75
1810,1390,1.065,1.4,1.87,2.33,2.61,2.8,3.27,3.74
1875,1455,1.068,1.39,1.86,2.33,2.6,2.79,3.26,3.72
1960,1540,1.072,1.39,1.85,2.32,2.59,2.78,3.24,3.71
2046,1626,1.076,1.38,1.84,2.31,2.58,2.77,3.23,3.69
2110,1690,1.079,1.38,1.84,2.3,2.57,2.76,3.22,3.68
2195,1775,1.083,1.37,1.83,2.29,2.56,2.75,3.2,3.66
2260,1840,1.086,1.37,1.82,2.28,2.55,2.74,3.19,3.65
2345,1925,1.09,1.36,1.82,2.27,2.54,2.73,3.18,3.64
2409,1989,1.093,1.36,1.81,2.26,2.53,2.72,3.17,3.62
2495,2075,1.097,1.35,1.8,2.25,2.52,2.7,3.16,3.61
2580,2160,1.101,1.34,1.79,2.24,2.51,2.69,3.14,3.59
2644,2224,1.104,1.34,1.79,2.24,2.5,2.68,3.13,3.58
2730,2310,1.108,1.33,1.78,2.23,2.49,2.67,3.12,3.56
2794,2374,1.111,1.33,1.77,2.22,2.48,2.66,3.11,3.55
2880,2460,1.115,1.32,1.77,2.21,2.47,2.65,3.09,3.54
2944,2524,1.118,1.32,1.76,2.2,2.46,2.64,3.08,3.52
3029,2609,1.122,1.31,1.75,2.19,2.45,2.63,3.07,3.51
3115,2695,1.126,1.31,1.74,2.18,2.44,2.62,3.05,3.49
3179,2759,1.129,1.3,1.74,2.17,2.43,2.61,3.04,3.48
3265,2845,1.133,1.3,1.73,2.16,2.42,2.6,3.03,3.46
3329,2909,1.136,1.29,1.72,2.16,2.41,2.59,3.02,3.45
3414,2994,1.14,1.29,1.72,2.15,2.4,2.58,3.01,3.44
3478,3058,1.143,1.28,1.71,2.14,2.39,2.57,2.99,3.42
3564,3144,1.147,1.27,1.7,2.13,2.38,2.55,2.98,3.41
3650,3230,1.151,1.27,1.69,2.12,2.37,2.54,2.97,3.39
3714,3294,1.154,1.26,1.69,2.11,2.36,2.53,2.96,3.38
